sentiment,text
Neutral,"RT @ericschroeck: My father was a puddle of water. My mother was an apple. I was raised by goats. When I'm president, the goat people shall…"
Neutral,Who did this?! 😂😂😂😂😂 #GOPDebate http://t.co/GfLYUdoQZX
Negative,"RT @BenMank77: Well done, Fox...great questions on climate change, the Koch brothers, campaign finance reform &amp; oh, yeah...none of those th…"
Neutral,"#HillaryClinton takes selfie with #KimKardashian, #KanyeWest during #GOPDebate http://t.co/6JyS4iVVkE … http://t.co/e8jH6TilTs"
Positive,RT @robyn_ravenclaw: Omg this is the best thing I've ever seen in my life 😂😂😂😂 #GOPDebate  https://t.co/sVFJCLmzlA
Positive,My piece on the #GOPDebate for @qz. John Kasich is the winner in Round 1  - performed opposite his poll rankings http://t.co/TQKAlaFL8j
Negative,#MarcoRubio lied when he said he had never advocated for exceptions to abortion bans. #GOPdebate
Neutral,"RT @kaylirw: ""I would, like, definitely do stuff different, like whatever is happening I make it be not happening""--Trump #GOPDebate"
Negative,"RT @PetraAu: I frankly don't have time for total political correctness"" Watch some of @realDonaldTrumps zingers  #GOPdebate
https://t.co/Ey…"
Neutral,and @DWStweets was complaining about #Misogyny at the #GOPDebate last night @scrowder @CarterFliptMe @CarlyFiorina #tcot #Untieblue
Negative,"I'm Not 1 Of Those Conservatives Who Supports RINOS Like Bush, Huckabee, Rubio &amp; Santorum 😑
#GOPDebate"
Positive,"RT @TRButcher: Looks like @RealBenCarson &amp; @marcorubio were the big winners of the #GOPDebate, and I agree! http://t.co/g8FYUmFxUn"
Neutral,RT @megynkelly: .@marcorubio: We need to even out the tax code for small businesses so that we lower their tax rate to 25% #GOPDebate
Neutral,The Left always tells us of whom they are most afraid. #GOPDebate  https://t.co/ib6o7f755V
Negative,AMERICA BETTAH HAVE MY MONEY!!! #BBHMM #GOPDebate https://t.co/dxrmDWQvBe
Negative,"@realDonaldTrump You need to shut up, sit down, and close your Twitter account. The more you speak, the worse it gets. #bimbo #GOPDebate"
Neutral,"RT @catie__warren: ""Pack your swimsuit, Billy. Mama is taking you to the White House."" #GOPDebate http://t.co/6t2PWpyiX1"
Neutral,RT @WalshFreedom: Guys making out and Joe Flacco #GOPDebate http://t.co/efeaXExh0v
Neutral,#RT if you think the outcome of the #GOPdebate was set long before last night...�?
Negative,RT @huckpoe: Donald Trump responded to Megyn Kelly's accusations of misogyny by calling her a bimbo. #GOPDebate
Negative,True https://t.co/lciPAyBJZ9 #GOPDebate http://t.co/lbvG7Br91K
Neutral,RT @FreedomTexasMom: I'd say #Trump #Cruz #Carson. #GOPDebate  https://t.co/johkjZLjQR
Neutral,My comprehensive National Security Highlights from #GOPDebate: http://t.co/s8oXPaANIU
Negative,"According to @ChrisChristie, the Bill of Rights is just ""hot air."" https://t.co/8wpP6E80Jn #GOPDebate"
Negative,"RT @Braun23Austin: Trying to figure out Donald Trump's logic like: 

#GOPDebate http://t.co/NWAOtwVeJg"
Neutral,RT kayleymelissa: #GOPDebate is like the trial from The Unbreakable Kimmy Schmidt and Dona… http://t.co/jAqjwnndgB http://t.co/XIn4GGUvVe
Negative,"RT @JackeeHarry: .@RandPaul is talking about Hyundais, @GovMikeHuckabee about Buicks. I'll vote for whoever mentions a Four Door Aventador.…"
Neutral,RT @ashleyraecx: BRING OUT THE DANCING DEMOCRATS #GOPDebate
Neutral,"I'd agree with this | Here's Who Gained, Faltered, and Remained Unaffected | The Weekly Standard http://t.co/VWeOprUVGM #GOPDebate"
Negative,"""When did you actually become a Republican?"" #MegynKelly #GOPDebate #DonaldTrump"
Negative,"Forget the #GOPDebate, we need a show called 'Toupee Wars' between @realDonaldTrump and @FrankLuntz. http://t.co/Z8g1MTeElg"
Neutral,RT @brianstelter: I just saw the early overnight ratings for the #GOPDebate. Stand by... http://t.co/eGu2ziUEqH
Positive,RT @JohnFict: Should @megynkelly have acted like @CandyCrowley last night and coddled them? HELL NO! #tcot #GOPDebate get the dirty laundry…
Negative,"Great #GOPDebate debate, but not one word about the environment. Very disappointing."
Negative,Questions on climate change and voting rights didn't make a showing at the #GOPDebate
Neutral,Are you my friend? Want to stay friends? Watch the #GOPDebate on @Snapchat
Positive,"RT @Chillax: #GOPDebate Rand Paul was given the least amount of talk time, yet he said the most. #StandWithRand I LOVED him smashing Christ…"
Negative,"RT @BerinSzoka: Rand: I don't want my gun or marriage registered in Washington

Agree but... You know marriages are registered in states, r…"
Neutral,"RT @BerinSzoka: Rand: I'm the only one leading Hillary in FIVE states won by Obama

#GOPDebate"
Negative,"RT @jnjsmom: Lets play the ""What's worse"" game. What's worse? 1. @realDonaldTrump calls Rosie fat 2. Clinton sleeps w/intern  R/T if u pick…"
Neutral,This is How You #LeadRight2016 - https://t.co/vttziI0Rq6 #GOPDebate
Neutral,"Carly Fiorina “The Clear Winner�? in First #GOPDebate (with images, tweets) · CarlyForAmerica · Storify https://t.co/0IMJC0K1Ki"
Neutral,RT @ELLEmagazine: ICYMI John Kasich's gay marriage response. Wow. #GOPDebate http://t.co/1eY3lQ2hPq
Negative,"RT @alliebidwell: Bernie, calling out #gopdebate on lack of higher ed talk, among other issues https://t.co/27h90u6BAu"
Negative,RT @jr_whitehurst: Donald Trump wants to build The Great Wall of China (in America). Fully equipped with a door.  #GOPDebate
Neutral,Less than 24 hours after #GOPDebate took the stage in #Cleveland and analysis is pouring in. @AndreaGrymesTV has more at noon on @CBSNewYork
Positive,RT @AmyMek: Amen @JohnKasich -&gt; You don't have to compromise convictions to be compassionate…. #GOPDebate http://t.co/NpI9JYZGVF
Negative,RT @BrittanyFurlan: Pretty much the only thing I could focus on during the GOP primary debate... #GOPDebate http://t.co/ilWGGEYNQD
Positive,"@CarlyFiorina @realDonaldTrump #GOPDebate 
Country before party!  Why pledge away the option to do what may need to be done."
Negative,7 takeaways on the #GOPDebate more like #GOPRealityShow http://t.co/R03O07FKqn
Neutral,"#GOPDebate moderators should have asked: ""As a genuine Christian, will you give Jesus Christ a 2nd shot at Justice by giving Him a retrial?"""
Neutral,"Last nights #GOPDebate was the most watched #Republicandebate in history w/ a 16. share, which means 16 million people tuned in. #politics"
Negative,RT @EllaThomas22: @RCdeWinter could there have been any more hate directed towards women on that stage if they tried?? wow #GOPDebate
Neutral,FloridaMEP: RT IMPOmag: #Manufacturing Group Knocks Trump Ahead Of #GOPDebate http://t.co/f3Kh6lVjjn #DonaldTrump http://t.co/XY3tBz78dd
Neutral,You're not going to know who won #GOPDebate until you see who @TheDemocrats attack as 'unqualified' and 'frightening' #Rubio #Fiorina
Neutral,"Donald Trump: Border ethnographer.
""But I went there and that's what people told me!!!""

#GOPDebate #RogueSociologist"
Positive,@JohnKasich really impressed in last night's #GOPDebate http://t.co/RbpOmS07gC #Kasich4Us
Neutral,"#Standupforuourselfandforothers!
Make yourself believe you are more than enough.
#GOPDebate"
Neutral,"#GOPDebate in cool graphics 
http://t.co/JTTfuLDSMZ"
Negative,RT @justJr: Rand Paul before tonight's infamous hair makeover. #GOPDebate http://t.co/Tl8B5QA0ho
Positive,RT @RepJackKimble: I liked Donald Trump's contention that he literally didn't have enough time not to make fun of Rosie O'Donnell's weight …
Neutral,"Your Friday favorite, ""Caught My Eye"" was posted three hours ago at http://t.co/PCII2mxHaJ  #GOPDebate #mtpol #Malmstrom"
Negative,I refuse to live in a country that elects #DonaldTrump as President. Are we living in Idiocrasy? #GOPDebate #SexistMoron #PleaseGodNo
Neutral,RT @HellerJake: Rap Genius goes mainstream. Cool collaboration by the @washingtonpost to annotate #GOPDebate http://t.co/xPqLgzOXQB ht @cor…
Negative,"RT @RT0787: alyssaphucker: RT HuffingtonPost: The real winner of the #GOPDebate? MegynKelly
https://t.co/KmRn9BV2fM http://t.co/AuhlNZa3Ww"
Neutral,"RT @MelissaRyan: ""At #GOPDebate, I won over our largest audience yet. Can you chip in $3 to help us keep it up?"" @CarlyFiorina http://t.co/…"
Negative,RT @SmillingHK: @FoxNews Megyn Kelly's #GOPDebate performance was every bit as biased and obnoxious as that of Candy Crowley's 2012 @CNN pe…
Negative,"I agree, it was annoying. @FoxNews moderators were TERRIBLE. Quite unfair #GopDebate but focus on MY candidate, good https://t.co/XwAtuS8A2r"
Positive,"RT @annmariebrok: If you watched the #GOPDebate last night, why not send $5 to @PPFA this morning? https://t.co/8fMW19EWp9 #ReproJustice #R…"
Neutral,RT @CarolHello1: #GOPDebate TakeAway: https://t.co/y4X4bZ4Tdy
Negative,"#GOPDebate What happened to dignity, polish and manners in the debate forum??"
Neutral,I won the #GOPDebate because I got drunk and fell asleep before it started.
Negative,@ron_fournier @realDonaldTrump and he's puling ahead in the polls - go figure #GOPDebate
Neutral,"RT @DamienFahey: Scott Walker looks like he should be asking, “And would you like Enterprise’s insurance for $8.99 a day?"" #GOPDebate"
Neutral,"I remain just 1 thing, &amp; 1 thing only, &amp; that is a clown. It places me on a far higher plane than any politician. - C. Chaplin. #GOPDebate"
Neutral,RT @TruthTeamOne: #GOPDebate Unplanned GOP parenthood ... You're going to have a Trump. http://t.co/6RZMowRG8u
Negative,RT @JamalDajani: The #GOPDebate in cartoons https://t.co/PKulN2wzbH
Neutral,"@AandGShow #GOPDebate 
Couldn't help myself! http://t.co/MQVUzm3v5F"
Positive,"RT @MichaelLucchese: Kasich is a good governor, we get it Ohio... Not gonna be the nominee. #GOPDebate"
Neutral,"Don't be confused, I am not republican. I make jokes about republicans. But I watched the #GOPdebate to be informed about the candidates."
Neutral,"Welcome to ""Fact Check Friday!""

Show us news media who lied and who lied even more!

#GOPDebate"
Positive,RT @FreedomTexasMom: . @seanhannity  THANK YOU for being fair to the GOP front runner @realDonaldTrump This is why I LOVE #Hannity #FoxNews…
Positive,RT @ladybeau49: #GOPDebate We'd like to hear more from @tedcruz. The constitution is his touchstone. #IRS #BadIranDeal #Patriots #RedNation…
Negative,"@AdamsFlaFan @Rockmedia @ConchGunny
FOX/GOP Party's Hunger Games- Demagog Food-fighter @CarlyFiorina
#GOPDebate http://t.co/ygMGbAvqut"
Neutral,Why haven't they asked BOB about the #GOPDebate #thingstoaskBilly
Positive,"The moderators last night did a fantastic job. Started off awkward, but the actual questions were terrific. #GOPDebate #FoxDebate #FoxNews"
Neutral,RT @PollsterJulia: 45% in US believe #immigration is causing US to change in ways they don't like http://t.co/vMiqtMh0DS #GOPDebate @ipsospa
Positive,RT @MichaelLucchese: Kelly is doing a great job asking tough questions. #GOPDebate
Negative,"Politics in USA is a joke. Need rim shots for comments, hook &amp; gong. Absofuckinglutely reduculous. Turned into reality tv show #GOPDebate"
Neutral,RT @alexandraheuser: #FoxNews #GOPDebate @BretBaier @megynkelly @BillHemmer @marthamccallum @krauthammer @GeorgeWill  ICYMI: Santo Rocks! h…
Positive,".@ppact can sell baby parts for profit, or whatever you want to call it, but Trump can't call a woman a slob. #GOPDebate #PC #Trump2016"
Neutral,Overall @BobbyJindal was the big winner yesterday. I expect to see him in the prime time debates next #GOPDebate
Positive,RT @alexandraheuser: CONGRATULATIONS .@RickSantorum GR8 job at #GOPDebate 2night #GameON #Rick2016 https://t.co/Lf4cHPrf7h
Negative,"The #GOPDebate didn't change much, but it was the beginning of the end for @realDonaldTrump. http://t.co/lFAOi7QNiG @washingtonpost #insider"
Neutral,Here Are 21 Policy Highlights From the First 2016 Republican Debate #GOPDebate http://t.co/WaiUi1ijR7 via @nataliejohnsonn @DailySignal
Neutral,RT @StephHerold: GOD BEING BROUGHT ON AS SURPRISE GUEST #GOPDebate
Negative,"RT @Redpisces3: I know he's sorta busy, but post-debate discussion just isn't the same without @LarryOConnor #GOPDebate"
Neutral,RT @DWStweets: On @NewDay from Clev. #GOPDebate last night proved that Democrats are the choice for middle-class Americans in 2016. http://…
Negative,Facts not mentioned in #GOPDebate: 13M jobs created in longest stretch of private sector jobs growth in history! http://t.co/a6fa0ZwfYh
Negative,"RT @davidbadash: Chuck Schumer cowardly released a statement during #GOPDebate, announcing he is willing to risk war with Iran by opposing …"
Neutral,RT @MichaelLucchese: Welcome to the #Thunderdome! #GOPDebate http://t.co/7NAhmGI7Sz
Negative,"""I don't have time to be politically correct, but I do have time to be aggressively awful"" -Donald Trump #GOPDebate"
Negative,@PaulRieckhoff Yes entitlement in #GOPdebate #cic #potus candidates. No excuses for the lack of debate on #nationalsecurity #defense &amp; #VA
Positive,. @seanhannity  THANK YOU for being fair to the GOP front runner @realDonaldTrump This is why I LOVE #Hannity #FoxNews #GOPDebate #Respect
Neutral,Watching last night's #GOPDebate. 😩
Negative,RT @lmahoneybee: #GOPDebate I'll vote for whoever pushes #TermLimits for #Congress. #CareerPoliticians aka #WashingtonCartel is the downfal…
Negative,RT @sweetgreatmom: No substance. All talk about issues that only matter to the rich.  #GOPDebate was a failure of political process.  https…
Positive,Donald Trump is so funny 😂 #GOPDebate
Neutral,My dog barks every time there is a doorbell sound on TV. So last night there was a LOT of barking. #GOPDebate #useabuzzersoundinstead
Negative,Oh fuck. Ted Cruz's first answer brought out the shit-smelling face. Completely disingenuous. #GOPDebate.
Negative,"RT @2AFight: Jeb ""there is no establishment"" Bush for retirement!

#GOPDebate #tcot #PJNET #ycot #RedNationRising #ccot #teaparty http://t.…"
Neutral,RT @HEAprez: More @ChrisChristie fact checking. They say the truth will set u free. Perhaps just not on @FoxNews #GOPDebate stage? http://t…
Negative,"RT @GaltsGirl: Trump spoke for over 11 minutes last night. Rand Paul spoke for just over 5. 
That wasn't a #GOPDebate. It was a Reality TV …"
Neutral,"RT @Kadzis: Thoughts on the #GOPDebate from @reillyadam and me via #TheScrum. http://t.co/h4QBM6W3yI Not unlike ""Hunger Games"" minus Jennif…"
Positive,.@CarlyFiorina Shows How to Push Back Against Matthews on @Hardball #msnbc #mediabias #GOPDebate  http://t.co/mA5onTHRIo
Neutral,#GOPDebate @RandPaul has pretty much a republicans view.
Positive,RT @BonsaiSky: I would pay money to see a debate between Hillary Clinton and Donald Trump. You know Donald will bring up Monica 😂 #GOPDebate
Positive,"#GOPDebate showed that politicians are great liars. Smooth talkers, but have to OBEY doners.  I will vote Trump - he has no reason 2 lie"
Negative,"Other than those 2 very brief mentions, &amp; Bush support of Keystone XL, oil, energy, climate, environment, etc. played no role in #GOPDebate"
Neutral,RT @SFGate: Internet has some fun with the #GOPdebate http://t.co/haDMNm0O2z http://t.co/5Y3hH7pcML
Neutral,RT @GetUpStandUp2: #BATsask which #GOPDebate candidate is truly ready to START to reinvent public Ed? @berniesanders End @gatesed rule! htt…
Neutral,Why is no one taking this seriously??!! #GOPDebate
Neutral,RT @M_Cornell: . @realDonaldTrump How do you intend to increase minor league hockey salaries? #AskingForAFriend #GOPDebate
Negative,"So Camille Paglia is trying to spike the #GOPDebate by saying Kasich won, or is it simply her liberal bias talking? LOL"
Neutral,RT @dick_nixon: Reagan made that deal behind Carter's back. We all know it. #GOPDebate
Neutral,Not one question about #climatechange and at the #GOPDebate last night.
Negative,RT @AndreaLeon: #OhTheIrony: When Fox News is not radical enough for #DonaldTrump… #GOPDebate
Negative,@FoxNews is breaking their arm patting themselves on the back today. They should be embarrassed #megynfail #GOPDebate #pjnet #Trump2016
Positive,#GOPDebate was interesting to say the least ....
Negative,"RT @JackeeHarry: I'm turning off the #GOPDebate, so I'll just leave this here.. http://t.co/MOA3vxg5w6"
Negative,"MT What I learned last night talking heads have lots in common with politicians, talk, ego, out of touch #GOPDebate  https://t.co/FE54H9CkAy"
Positive,Donald Trump is John Galt. Chew on it. #gopdebate
Neutral,"RT @paulolim: Sen. Ted Cruz: ""As conservatives, we keep winning elections, but we don't have leaders keeping their commitments."" #Cruz2016 …"
Neutral,Last night's #GOPDebate was the most-watched primary debate in history.
Positive,"RT @metzgr: .@JebBush has a distinct @LeoMcGarry-ness to him in this pic from @nytimes, so... #Winner #GOPDebate http://t.co/KoLwWwgdP1"
Negative,"RT @sallykohn: Good night, America. I hope you sleep well.  

I myself will be having nightmares about our future if any of #GOPDebate cand…"
Negative,"RT @ReelQuinn: Pretty sure Ted Cruz was one of the Darrens from Bewitched. #GOPDebate
 #Derwood"
Neutral,Watching #GOPDebate last night; couldn't help myself! Who will it be?!#leadershipmatters #future #usa
Positive,@RickSantorum #America is a great country! #GOPDebate http://t.co/3XBdXlLCeO
Neutral,My colleague Amelia Hamilton tracked the best comments on #Twitter last night covering the #GOPDebate https://t.co/hbbnoFEISf #socialmedia
Neutral,RT @DrunkJCrewUGuys: Special Edition #drunkjcrew #drunkdemocracy #GOPDebate http://t.co/K1a0CPuoRg
Neutral,RT @bgittleson: Check out @rickklein's take on how the #GOPDebate revealed divisions deeper than Donald Trump: http://t.co/ZV7wlLp9Fc
Negative,RT @VeniceMase: Hillary's #rebuttal to the #GOPDebate https://t.co/TpRgQOjiyq
Positive,"RT @BraunKen: Oh my. Reasonable answere by #Kasich2016 on gay question, and applause by crowd. Maybe a new GOP? #GOPDebate"
Positive,RT @2013_Tiffany: #Rubio seems to be the only candidate actually saying HOW he's going to get things done #GOPDebate #Rubio2016
Negative,Donald Trump responded to Megyn Kelly's accusations of misogyny by calling her a bimbo. #GOPDebate
Negative,@zachhaller on the #GOPDebate snapchat Jeb says that all those people are way better than Hillary and Bernie. I couldnt help but laugh.
Positive,"To all the ppl complaining about issues NOT covered in the #GOPDebate:  

Relax, this is only the 1st debate! Unlike Dems, many more to come"
Neutral,Here's how much each candidate spoke throughout the #GOPDebate: http://t.co/lyoD8hsYsZ http://t.co/uc6lKzQni9
Neutral,"RT @FoxNews: .@FrankLuntz: “What @marcorubio has that people don’t realize, he’s everybody’s 2nd choice.�? #Hannity #GOPDebate http://t.co/Q…"
Positive,RT @alexandraheuser: It's one thing 2 recognize a WINNER but America recognizes one who can help AMERICA win! #Rick2016 #GOPDebate #TCOT ht…
Positive,The Donald is every bit as gracious in Victory as he is in defeat #gopDebate #2016
Negative,That was a great Comedy Show last night!  #GOPDebate
Neutral,#GOPDebate fact check http://t.co/QtZeJScXas Here’s how the candidates’ claims measured up to reality http://t.co/a8B8tQel39
Positive,"Megyn wins.

#GOPDebate (via @wesjonesDC)
http://t.co/Rp6Q741IJj"
Neutral,RT @Writeintrump: I'm going to have to take the long way to the #GOPDebate because the bridge is closed. Well played Chris Christie. Well p…
Positive,Rap Genius goes mainstream. Cool collaboration by the @washingtonpost to annotate #GOPDebate http://t.co/xPqLgzOXQB ht @coryhaik
Negative,"RT @shannonrwatts: Why do you believe Americans are 20X more likely to be shot, killed than in other developed nations? #DebateQuestionsWeW…"
Neutral,"RT @FreedomJames7: If Trump Runs As A Independent, Clinton Is President.
#GOPDebate http://t.co/1CwHHAfg3z"
Positive,"RT @Writeintrump: Is it rude to drop the mic after delivering an awesome line during the #GOPDebate? I don't care if it is, I'm doing it an…"
Neutral,RT @edhenry: Joining @foxandfriends next #GOPDebate http://t.co/eM9wiSKVpE
Neutral,I hope they make a BLR video of the #GOPDebate
Positive,RT @johncardillo: Dr. Carson's POV on race was class and brilliance personified. #GOPDebate
Positive,Everyone was excited for #GOPDebate - @hemzy1 @MyHatBaby. Excellent job moderators @FoxNews @BretBaier @megynkelly #election2016
Neutral,@WeOfThePeopleR1 @seanhannity @AnnCoulter @realDonaldTrump Exactly WHY TRUMP WON!! Your.. Biased Media Hack Job didn't work.. #GOPDebate
Negative,"@theblaze @megynkelly dispelled the fact that she's an objective moderator. I love her show, but her moderating, not so much. #GOPDebate"
Negative,"RT @cenkuygur: The GOP candidates in favor of God. How very, very bold! Fox News asking the tough questions! #GOPDebate"
Positive,Sen. Marco #Rubio (R-#Florida) is #GOPDebate winner according to @morningmoneyben: http://t.co/YjQ4hEDs4P
Negative,RT @doodlehedz: Barf emoji. Where the fuck is the BARF EMOJI!!!! #GOPDebate
Neutral,I didn't watch the #GOPDebate  and I feel like I missed everything. Do we like them now?
Negative,"@billmaher Can't wait to get your take on #GOPDebate, Planned Parenthood, Iran Deal, Trump on tonight's #RealTime"
Neutral,"The #RFS supports 73,000 Iowa jobs &amp; 852,000 across the US. Candidates must keep those jobs secure by going forward with the law. #GOPDebate"
Positive,"It's brilliant that Trump never apologizes for anything he says. I mean everyone loves a bully, right? #dumptrump #GOPDebate"
Neutral,Missed #GOPDebate but got all the info I need from @DougBenson @kathleenmadigan @TheLewisBlack @pattonoswalt
Positive,RT @stephenstephan: Rubio: Basically all life is sacred. #Prolife #GOPDebate
Negative,"Very important topics like #votingrights, #climatechange, &amp; #gunviolence werent mentioned in #GOPDebate. https://t.co/bxTZRvFkDb"
Negative,"blahahaha, the fix is on on the democrats side even bigger . Hillary is the democrat's ""Bob Dole""
#GOPDebate 
#Democrat"
Neutral,RT @cameron_shore: .@HillaryClinton's reaction watching the #GOPDebate! http://t.co/12moTKC3vA
Positive,"RT @goog927: #Fiorina is presidential material.  Looking forward to seeing her surge.
#GOPDebate"
Negative,RT @chrisLrob: The highpoint of Ben Carson's political arc was--and will remain--dissing the black president at the National Prayer Breakfa…
Negative,@BenCarson2016 no such thing as a politically correct war. Amen. #FOXNEWSDEBATE #GOPDebate #smartman
Positive,"RT @emiluminati: @marcorubio make it happen, cap'n!! Your responses at the #GOPDebate  were spot on. Thank you!! #Rubio2016 #GeniusAtWork #…"
Neutral,Now that you've all had a chance to sleep on it: who are the winner and losers of last night's #GOPDebate?
Positive,"I agree with #Huckabee's assessment of donor-to-political class relationship, but I don't get how it results in #biggovernment. #GOPdebate"
Neutral,#GOPDEBATE | @FactCheck reviewed the claims and arguments made by GOP candidates during last night's debate  http://t.co/Azjf6N4jAX
Neutral,You still love @HillaryClinton #GOPDebate #VoteYall  https://t.co/Riz6AUNGRu
Neutral,.@GovMikeHuckabee making post-#GOPDebate trip to South Carolina (from @AP) #2016 http://t.co/qXjv2SBRmz
Neutral,RT @mdiannone: Not watching th #GOPDebate. I'll just catch the highlights on Monday from Jon Stewa- ohh.... :(
Neutral,RT @kumailn: Welcome to the Roast of Hillary Clinton! #GOPDebate
Neutral,RT @ErinMVPS: A college debate coach's perspective on who 'won' the #GOPdebate last night. http://t.co/3caFylQojK @EmoryAdmission @emorydeb…
Neutral,Most brilliant statement made during the #GOPDebate? https://t.co/9CdNOL3TM7
Positive,Jeb and Marco 2016 seem like a possible team.#GOPDebate
Negative,@CBSMiami #GOPDebate @RepEliotEngel CAN WE BE 100% SURE @POTUS ISN'T BEHIDE THIS #WTF HIM BANGING MY EX WAS A SECRET https://t.co/sWEC9ggCF6
Negative,"Reality is, Pat! @PatrickBuchanan would have been booed off the stage last night. #GOPDebate #cuckservatives"
Neutral,"The last question in the #gopdebate was ""Does an invisible man talk to you, and if so, what does he say?"" 
#2015 #religion #scary #gopdebate"
Negative,"RT @kajawhitehouse: @MarkMelin I couldn't watch the #GOPDebate for example, which I argue should have been on broadcast anyway as a public …"
Positive,Politics Nerd Moment: On vacation. Lost my chill when I looked up @ the bar TV to see I was missing the #GOPDebate reading play by plays now
Neutral,"It might be the Fear Toxin talking, but my internal voice wonders what a Trump presidency would be like. #GOPDebate http://t.co/eAlQ1ylv7Y"
Negative,RT @Wendie07: #GOPDebate I'm sorry Ted Cruz looks like the son of Mr Haney from Green Acres!
Positive,"The real winner of the ""kids' table"" #GOPdebate? Dick Cheney http://t.co/13LsKG3Aa3 #UnitedBlue #Hillary2016 #Mo… http://t.co/e8jH6TilTs"
Neutral,RT @MattyIceAZ: Just throwing it out there...Jon is leaving the #DailyShow just in time to jump in the 2016 race. #GOPDebate
Negative,RT @2noame: And now we get to hear from a bunch of high income men on how much they've done to restrict health access to low income women. …
Positive,That @ScottWalker's zinger about Hillary's email and Russian/Chinese hacking is a great clip that's getting lots of play today. #GOPDebate
Neutral,"""The most unexpected part of the GOP Debate was seeing a commercial for Straight Outta Compton on Fox News"" #GOPDebate"
Positive,RT @kaylasmith4791: Really enjoyed everything @marcorubio had to say last night. #Rubio2016 #GOPDebate #AmericaOnPoint
Neutral,"RT @LouisPeitzman: From now on, I'm answering all questions with a story about the hardships my parents faced. #GOPDebate"
Negative,"RT @alexandraheuser: Fox PRIME time Debate was a HUGE, HYPED, SHINY #FoxFAIL #IssuesLost2Drama #GOPDebate https://t.co/WmDLUgl9nD"
Neutral,"RT @THRMattBelloni: We got the leader of Friends of Abe, Hollywood's secret conservative group, to analyze the first #GOPDebate. http://t.c…"
Negative,RT @DavidTATL: This! biggest loser last night was @megynkelly who came across as a condescending cat! #boycott her show! #GOPDebate https:/…
Neutral,Jotted a few notes on last nights #GOPDebate and ranked them. #tcot #ccot #TedCruz #RandPaul #BenCarson http://t.co/iJYmUd0nV4
Positive,The best thing in #GOPDebate was @GovChristie wiping the floor w/ @RandPaul on his Jihad enabling policies. Well done.
Positive,"#RFS reduces our need for oil imports from hostile foreign regions, which helps keep our military out of Middle East conflicts. #GOPDebate"
Positive,"Looks like @RealBenCarson &amp; @marcorubio were the big winners of the #GOPDebate, and I agree! http://t.co/g8FYUmFxUn"
Neutral,#GOPDebate Another past poll about the General Election http://t.co/FUAPQThMzg
Neutral,RT @mofopolitics: Michael Savage warned you about Megyn Kelly a long time ago http://t.co/6CstNZHxXf #gopdebate #tcot
Negative,"@realDonaldTrump: misogynist, ignorant, xenophobic and greedy: another proof that money does not buy class. #GOPDebate #GOPClownCar"
Positive,@dan_bernstein That debate or if you can call it that was just a joke. The biggest one of all is Donald Trump. #GOPDebate
Neutral,RT @Marnus3: The perfect remedy for a #GOPDebate hangover is to #FF @woodhouseb  @fakedansavage  @missb62  @ChasingTao @HollandCooke @Robin…
Positive,"RT @cenkuygur: Rand Paul won the round with Chris Christie with the completely irrelevant #ObamaHug line, though he was right on the merits…"
Neutral,RT @ItsShoBoy: #GOPDebate veers between two subjects: #America and @realDonaldTrump http://t.co/iNAXyK7rOm #TNTweeters #AINF #tlot #tcot #p…
Neutral,RT @DocInRealLife: RT if you'd rather vote for Doc. #GOPDebate http://t.co/ElcoxLPHaV
Negative,"RT @Timcast: Trump said this country needs brain, so basically he is saying we shouldn't vote for him? #GOPDebate"
Neutral,"RT @VikingBooks: ""It's not my job to elect the man, but to observe him."" What would #MaryMcGrory think of this #GOPdebate? http://t.co/Jb7z…"
Neutral,RT @JessicaLynnDill: @GovMikeHuckabee stopping by to talk with @fox8news today. Tune in @ noon to hear what he has to say about #GOPDebate …
Neutral,"Thoughts on the #GOPDebate from @reillyadam and me via #TheScrum. http://t.co/h4QBM6W3yI Not unlike ""Hunger Games"" minus Jennifer Lawrence."
Negative,"RT @MFL1956: Poor Marco Rubio laughing at his own jokes. 
#GOPDebate"
Positive,"To me, the real winner of last night #GOPDebate was @megynkelly. #MegynKelly"
Neutral,"RT @TimFederle: First question of the #GOPDebate: ""How about those Hamilton reviews?"""
Negative,Media sticks up 4 @megynkelly during #GOPDebate n rips #Trump. What media'is missing #Trump did not crash n burn. Megan set Trump up.
Positive,@GovMikeHuckabee stopping by to talk with @fox8news today. Tune in @ noon to hear what he has to say about #GOPDebate http://t.co/F9291V7Jgp
Negative,"RT @funnyordie: You're right, Trump. If it wasn't for you, we wouldn't be talking about the dumb shit you said. #GOPDebate"
Negative,RT @zachhaller: The (painful) #GOPDebate (that should embarrass all Americans) shows u GOP is so dumb they don't even know their biggest th…
Neutral,So about last night... #GOPDebate
Positive,This caption is puuuuuuurfect. https://t.co/LuQdtgv4Fb #hillaryclinton #hillary2016 #vote #election #gopdebate
Negative,RT @2noame: So @SenSanders live-tweeted the #GOPDebate using #DebateWithBernie and @HillaryClinton hung out with @KimKardashian &amp; @kanyewes…
Positive,RT @MediaBoobs: #NSFW Why Donald Trump won last night's #GOPDebate http://t.co/zhtJorprQb
Neutral,"Deut 1:13 Choose for ur tribes wise, understanding &amp; experienced men, &amp; I'll appoint them as your heads. #GOPDebate https://t.co/JqVoQ4miQ6"
